epoch,loss
1,28.30597798538208
2,6.60440336227417
3,5.279156734466553
4,4.421344160079956
5,3.5572928962707517
6,3.262217050552368
7,2.9794069004058836
8,2.757616994857788
9,2.540050947189331
10,2.281303723335266
11,2.313419550895691
12,2.1573828296661377
13,2.02445445728302
14,2.0113881483078004
15,1.983974672317505
16,1.8094614276885985
17,1.7560554704666138
18,1.7470467338562012
19,1.681863163948059
20,1.5305691785812379
21,1.7152707500457764
22,1.584374200820923
23,1.6611133823394775
24,1.5131499862670899
25,1.4580833597183227
26,1.469378457069397
27,1.4465183115005493
28,1.4175766353607178
29,1.4954681415557862
30,1.3440965480804443
